"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 19 08:47:10 UTC 2024","Thu Dec 19 08:47:12 UTC 2024","2433","","search.spec.ts","Search for a product and select last third result","","","Search for a product and select last third result",""
"passed","Thu Dec 19 08:47:08 UTC 2024","Thu Dec 19 08:47:10 UTC 2024","1951","","login.spec.ts","Login","","","Invalid Login",""
"passed","Thu Dec 19 08:47:06 UTC 2024","Thu Dec 19 08:47:08 UTC 2024","2200","","login.spec.ts","Login","","","Login",""
"failed","Thu Dec 19 08:47:02 UTC 2024","Thu Dec 19 08:47:05 UTC 2024","2868","","form.spec.ts","Contact us form filling","","","Contact us form filling",""
