"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 26 14:37:24 UTC 2024","Thu Dec 26 14:37:26 UTC 2024","2264","","form.spec.ts","Contact us form filling","","","Contact us form filling",""
"passed","Thu Dec 26 14:37:31 UTC 2024","Thu Dec 26 14:37:34 UTC 2024","2620","","search.spec.ts","Search for a product and select last third result","","","Search for a product and select last third result",""
"passed","Thu Dec 26 14:37:29 UTC 2024","Thu Dec 26 14:37:31 UTC 2024","1642","","login.spec.ts","Login","","","Invalid Login",""
"passed","Thu Dec 26 14:37:27 UTC 2024","Thu Dec 26 14:37:29 UTC 2024","2297","","login.spec.ts","Login","","","Login",""
