"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 26 13:38:09 UTC 2024","Thu Dec 26 13:38:11 UTC 2024","2381","","login.spec.ts","Login","","","Login",""
"passed","Thu Dec 26 13:38:11 UTC 2024","Thu Dec 26 13:38:13 UTC 2024","1818","","login.spec.ts","Login","","","Invalid Login",""
"failed","Thu Dec 26 13:38:05 UTC 2024","Thu Dec 26 13:38:08 UTC 2024","3206","","form.spec.ts","Contact us form filling","","","Contact us form filling",""
"passed","Thu Dec 26 13:38:13 UTC 2024","Thu Dec 26 13:38:16 UTC 2024","2629","","search.spec.ts","Search for a product and select last third result","","","Search for a product and select last third result",""
