"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 26 14:49:20 UTC 2024","Thu Dec 26 14:49:23 UTC 2024","2911","","search.spec.ts","Search for a product and select last third result","","","Search for a product and select last third result",""
"passed","Thu Dec 26 14:49:16 UTC 2024","Thu Dec 26 14:49:18 UTC 2024","2339","","login.spec.ts","Login","","","Login",""
"passed","Thu Dec 26 14:49:18 UTC 2024","Thu Dec 26 14:49:20 UTC 2024","1687","","login.spec.ts","Login","","","Invalid Login",""
"failed","Thu Dec 26 14:49:13 UTC 2024","Thu Dec 26 14:49:15 UTC 2024","2251","","form.spec.ts","Contact us form filling","","","Contact us form filling",""
