"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 07:09:33 UTC 2024","Fri Dec 20 07:09:35 UTC 2024","2213","","login.spec.ts","Login","","","Login",""
"passed","Fri Dec 20 07:09:36 UTC 2024","Fri Dec 20 07:09:38 UTC 2024","1966","","search.spec.ts","Search for a product and select last third result","","","Search for a product and select last third result",""
"failed","Fri Dec 20 07:09:29 UTC 2024","Fri Dec 20 07:09:32 UTC 2024","2692","","form.spec.ts","Contact us form filling","","","Contact us form filling",""
"passed","Fri Dec 20 07:09:35 UTC 2024","Fri Dec 20 07:09:36 UTC 2024","1254","","login.spec.ts","Login","","","Invalid Login",""
