"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 06:50:53 UTC 2024","Fri Dec 20 06:50:56 UTC 2024","2648","","search.spec.ts","Search for a product and select last third result","","","Search for a product and select last third result",""
"passed","Fri Dec 20 06:50:51 UTC 2024","Fri Dec 20 06:50:53 UTC 2024","1615","","login.spec.ts","Login","","","Invalid Login",""
"passed","Fri Dec 20 06:50:49 UTC 2024","Fri Dec 20 06:50:51 UTC 2024","2131","","login.spec.ts","Login","","","Login",""
"failed","Fri Dec 20 06:50:45 UTC 2024","Fri Dec 20 06:50:48 UTC 2024","3042","","form.spec.ts","Contact us form filling","","","Contact us form filling",""
