"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 19 08:35:59 UTC 2024","Thu Dec 19 08:36:01 UTC 2024","2186","","search.spec.ts","Search for a product and select last third result","","","Search for a product and select last third result",""
"passed","Thu Dec 19 08:35:55 UTC 2024","Thu Dec 19 08:35:57 UTC 2024","2096","","login.spec.ts","Login","","","Login",""
"failed","Thu Dec 19 08:35:52 UTC 2024","Thu Dec 19 08:35:54 UTC 2024","2152","","form.spec.ts","Contact us form filling","","","Contact us form filling",""
"passed","Thu Dec 19 08:35:57 UTC 2024","Thu Dec 19 08:35:59 UTC 2024","1300","","login.spec.ts","Login","","","Invalid Login",""
